-1,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
182,Data Science Specialist,$70K - $116K (Glassdoor est.),"Master’s Degree in data analytics, data science, computer science, statistics, engineering, economics or related field. Proficiency in Python for data analysis.…
Skills: Power BI, D3.js, SAS, Customer service, R",4.2,Tufts University,"Somerville, MA",1001 to 5000 Employees,1852,College / University,Colleges & Universities,Education,Unknown / Non-Applicable
183,"Senior Associate Data Scientist, Molecular Data Analysis",$116K - $174K (Employer est.),"Leverage and develop tools for analyzing binding data from our proprietary molecule discovery platform to identify hits for program progression.…
Skills: Data analysis skills, Laboratory experience, Linux, AI, Python",3.5,Terray Therapeutics,"Monrovia, CA",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable
184,Staff Data Scientist | Product,$225K - $265K (Employer est.),"You will partner closely in Ramp’s development process through product ideation, experimental design, implementation, execution, and analysis.…
Skills: SQL, Purchasing, Redshift, Python, Analytics",4.3,Ramp Financial,United States,201 to 500 Employees,2019,Company - Private,Financial Transaction Processing,Financial Services,Unknown / Non-Applicable
185,Applied Machine Learning Scientist,$107K - $179K (Employer est.),"Bachelor’s degree in Computer Science, Mathematics, Statistics, or related field. Knowledge in Economics, Finance, or related field.…
Skills: Statistical analysis, AWS, Analysis skills, Sentiment analytics, Machine learning",3.9,The Washington Post,"Washington, DC",1001 to 5000 Employees,1877,Company - Private,Publishing,Media & Communication,Unknown / Non-Applicable
186,"Staff Machine Learning Researcher, GitHub Next",$118K - $313K (Employer est.),"One or more publications in top machine learning, natural language processing, programming languages, or software engineering conferences, such as ICML, NeurIPS……
Skills: Research, Machine learning, Natural language processing, GitHub, AI",3.8,"GitHub, Inc.",Remote,1001 to 5000 Employees,2008,Subsidiary or Business Segment,Internet & Web Services,Information Technology,Unknown / Non-Applicable
187,Junior Data Scientist,$65K - $101K (Glassdoor est.),"Bachelor’s degree in Data Science, Statistics, or related field. AWS Associate level certification highly desired. 1-3 years of experience in data science.…
Skills: R, Analysis skills, Machine learning, Data science, Python",3.9,"Spry Methods, Inc","Huntsville, AL",51 to 200 Employees,2001,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
188,Data Scientist,$78K - $114K (Glassdoor est.),"A Bachelor's degree in computer science, engineering, statistics, mathematics, physics, econometrics, or a related degree (MS or Ph.D. preferred).…
Skills: React, SQL, Machine learning, Forecasting, Natural language processing",3.9,General Motors,"Warren, MI",10000+ Employees,1908,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD)
189,2025 Accelerated Development Program - Analytics and Data Science,$79K (Employer est.),"ADP participants will develop a solid foundation in analytics, data science, machine learning, and artificial intelligence.…
Skills: Machine learning, Project leadership, Leadership",3.9,Trane Technologies,"Davidson, NC",10000+ Employees,2020,Company - Public,Machinery Manufacturing,Manufacturing,Unknown / Non-Applicable
190,Applied AI/ML - Senior Associate,$55K - $88K (Glassdoor est.),"You will collaborate with various teams to design and develop data science solutions, maintaining a deep understanding of the business problem.…
Skills: TensorFlow, Statistics, Spark, Data analysis skills, Apache Hive",4,JPMorgan Chase & Co,"Columbus, OH",10000+ Employees,1799,Company - Public,Banking & Lending,Financial Services,$10+ billion (USD)
191,"Machine Learning Engineer, Growth",$254K - $399K (Employer est.),"Has solid software engineering fundamentals, including knowledge of classical algorithms and data structures. Has expertise in Python, its ecosystem, and Python……
Skills: Statistics, CAD, Data structures, System design, Machine learning",3.9,"Grammarly, Inc.",United States,501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable
192,Data Scientist,$83K - $146K (Employer est.),"Familiarity with developing models/algorithms to automate the analysis and evaluation of very large datasets. This position is onsite in the Oahu, Hawaii area.…
Skills: Machine learning, Data science, AI",4,Parsons,Hawaii,10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD)
193,Sr. Data Analyst: Operations Analytics,$104K - $122K (Employer est.),"In this role, you will own analyses and experimental design from beginning to end, including opportunity identification, problem scoping, analysis framing /……
Skills: Statistics, Power BI, Tableau, SQL, Analysis skills",4.1,Yum! Brands,"Plano, TX",10000+ Employees,1997,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD)
194,Scientist II - Delivery,$149K - $166K (Employer est.),"Experience in experimental design and analysis, exploratory data analysis and statistical analysis. Develop data-driven insights and work with cross-functional……
Skills: Statistics, Data analysis skills, SQL, Statistical analysis, Analysis skills",3.9,Uber,"San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
195,AI Research Engineer,$52K - $200K (Employer est.),"We expect you to bring experienced software engineering, along with a solid understanding of state-of-the-art parallel and distributed computing, computer……
Skills: C++, Machine learning, Distributed systems, Deep learning, Scripting",4.1,INTEL,Arizona,10000+ Employees,1968,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
196,Data Scientist,$80K - $145K (Employer est.),"The primary focus of this role is to provide technical expertise: helping to execute on complex analytics across a wide variety of often fast-paced client……
Skills: Microsoft Powerpoint, TensorFlow, CI/CD, Microsoft Excel, Azure",3.7,L.E.K. Consulting,"Boston, MA",1001 to 5000 Employees,1983,Self-employed,Business Consulting,Management & Consulting,Unknown / Non-Applicable
197,Applied Scientist,$120K - $180K (Employer est.),"You will design, develop, test, and refine machine learning algorithms for analyzing multi-channel time series data related to cardiac signals.…
Skills: TensorFlow, MATLAB, Anatomy knowledge, Signal processing, Analysis skills",-1,ENCHANNEL MEDICAL LTD,"Ladera Ranch, CA",1 to 50 Employees,--,Company - Public,--,--,Unknown / Non-Applicable
198,Data Scientist,$84K - $126K (Glassdoor est.),"Aggregate data and perform statistical analysis to answer questions presented by teammates or customers. Effectively communicate findings to, both, technical……
Skills: TensorFlow, Power BI, Program management, Microsoft SQL Server, Tableau",4,Andromeda Systems Incorporated,"Jacksonville, FL",201 to 500 Employees,2005,Company - Private,Aerospace & Defense,Aerospace & Defense,$25 to $100 million (USD)
199,"Data Scientist, PeopleInsight",$98K - $207K (Employer est.),"PhD in a quantitative field such as statistics, mathematics, data science, business analytics, economics, finance, engineering, or computer science.…
Skills: MATLAB, SAS, Writing skills, R, Research",3.7,Amazon.com Services LLC,"Seattle, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
200,Data Scientist,$95K - $157K (Glassdoor est.),"Boston Children’s Hospital offers competitive compensation and unmatched benefits including flexible schedules, affordable health, vision and dental insurance,……
Skills: Databases, SQL, Machine learning, Data science, Data visualization",4,Boston Children's Hospital,"Boston, MA",5001 to 10000 Employees,1869,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
201,Senior Data Scientist,$101K - $135K (Employer est.),"Research and evaluate state-of-the-art tools and techniques in GenAI. 2-5 years of relevant experience in data science, software development with AI……
Skills: TensorFlow, CI/CD, Node.js, React, Test automation",3.3,DTN,Remote,1001 to 5000 Employees,1984,Subsidiary or Business Segment,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
202,Shortage Data Scientist I,$80K - $105K (Employer est.),"Bachelor’s degree required, preferably in a STEM or data driven field. Perform analyses on shortage trends and leverage data visualization tools to identify……
Skills: Microsoft Powerpoint, Power BI, Microsoft Excel, Management, R",3,Burlington Stores,"Burlington, NJ",10000+ Employees,1972,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$5 to $10 billion (USD)
203,Insights Data Scientist,$76K - $106K (Glassdoor est.),"Experience in a role focused on quantitative analysis, statistical modelling, or data science, preferably with exposure to strategic analysis or market research……
Skills: Spanish, Nielsen, R, English, Analysis skills",4.1,Brambles Group,"Alpharetta, GA",10000+ Employees,1875,Company - Public,Shipping & Trucking,Transportation & Logistics,$5 to $10 billion (USD)
204,Senior AI/ML Data Scientist â€“ Natural Language Processing (Hybrid),$65K - $101K (Glassdoor est.),"ORPhD in data science, AI/ML/LLM engineering, computer science, semantic engineering or a related discipline. The Senior AI/ML Data Scientist – Natural Language……
Skills: TensorFlow, CI/CD, Elasticsearch, Software deployment, DevOps",4.1,Merck Sharp & Dohme,"West Point, PA",10000+ Employees,1891,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
205,Statistician (Part-time) - Brain Research Lab,$26.63 - $52.97 Per Hour (Employer est.),"Demonstrated ability to interpret statistical results in the field of neuroimaging. Prior experience with fMRI data analysis and statistical analysis methods.…
Skills: MATLAB, Data analysis skills, Statistical analysis, Machine learning, Data science",3.9,UCLA Health,"Los Angeles, CA",5001 to 10000 Employees,1919,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
206,Associate Data Scientist,$78K - $117K (Employer est.),"You hold a Master's degree in Statistics, Mathematics, Economics, Engineering, Physics, Actuarial Science, or similar analytical field; or you have commensurate……
Skills: Spark, R, Git, SQL, AWS",3.7,The Hartford,"Hartford, CT",10000+ Employees,1810,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD)
207,GenAI - NLP Data Scientist,$92K - $130K (Glassdoor est.),"PhD in computer science, information science, mathematics, statistics, engineering, or related field. OR Master's in computer science, information science,……
Skills: AWS, Analysis skills, Project management, Machine learning, Deep learning",4.1,Lilly,"Indianapolis, IN",10000+ Employees,1876,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
208,AI Engineer,$51K - $66K (Employer est.),"Experience with data manipulation and analysis using tools like Pandas, NumPy, R, etc. Proficiency in programming languages such as Python, Javascript, Java, C+……
Skills: TensorFlow, Computer science, R, Git, Google Cloud Platform",2.9,TecAce,"Bellevue, WA",1 to 50 Employees,--,Company - Private,Computer Hardware Development,Information Technology,$1 to $5 million (USD)
209,DATA SCIENTIST,$58K - $65K (Employer est.),"Four years of experience in computer science, data science, mathematics, statistics, business analytics, or a related field.…
Skills: Statistical software, Statistics, Computer science, Power BI, Data modeling",3.4,The State of Florida,"Tallahassee, FL",10000+ Employees,1845,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable
210,"Data Scientist, Master's Degree (Machine Learning and Operations Research)",$85K - $115K (Employer est.),"Apply thorough technical and business knowledge to feature engineering of massive datasets, exploratory data analysis, and model building to deliver accurate……
Skills: R, Git, Machine learning, Scala, Cloud computing",4.1,Procter & Gamble,"Cincinnati, OH",10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
211,Data Scientist,$87K - $123K (Glassdoor est.),"Master's degree or doctorate in statistics, data science, mathematics, or related applied science field, or equivalent experience.…
Skills: Statistics, Azure, Data mining, SAS, C#",3.7,"Amrock, LLC","Detroit, MI",1001 to 5000 Employees,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD)
212,Data Scientist,$135K - $216K (Employer est.),"Experience employing data-analytic methodologies and data science modeling, data engineering, algorithms, and other techniques and tools to identify trends,……
Skills: Management, Analysis skills, Data management, Data science",3.6,Peraton,"Doral, FL",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD)
213,Data Annotation Specialist,$55K - $65K (Employer est.),"Experience in data annotation or a related field. Familiarity with annotation tools such as Labelbox, Amazon SageMaker Ground Truth, or similar platforms.…
Skills: Ontology, Transcription, Machine learning, Scripting, AI",3.4,Integrated Research,"Denver, CO",201 to 500 Employees,1988,Company - Public,Computer Hardware Development,Information Technology,$25 to $100 million (USD)
214,"Software Engineer II, Machine Learning",$158K - $176K (Employer est.),"Bachelor's degree or equivalent in Computer Science, Engineering, Mathematics or related field, with 3+ years of full-time engineering experience.…
Skills: Go, Spark, Java, OOP, C++",3.9,Uber,"San Francisco, CA",10000+ Employees,2009,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD)
215,Data Scientist - Analytics,$160K - $180K (Employer est.),"Masters in Mathematics, Physics, Computer Science, Engineering, or another technical field. D.‍ in Engineering, Physics, Mathematics, Computer Science, or……
Skills: TensorFlow, Statistics, Computer science, Big data, Spark",2.9,Stackline,"Seattle, WA",51 to 200 Employees,2014,Private Practice / Firm,Business Consulting,Management & Consulting,Unknown / Non-Applicable
216,Data Scientist,$100K - $135K (Employer est.),"Education: Bachelor’s degree in computer science, engineering, mathematics, statistics, or a related field. Data Visualization and Communication: Turn complex……
Skills: MATLAB, Power BI, Management, R, Data analysis skills",4.1,Ascendion,"Sunnyvale, CA",1001 to 5000 Employees,2022,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable
217,Data Scientist,$97K - $139K (Glassdoor est.),"Actively pursue continuous learning of new techniques/tools/algorithms in data science. Lead the design and implementation of data analytics tests in supporting……
Skills: Statistical software, Power BI, Data analysis skills, SQL, Statistical analysis",3.8,Wintrust Financial,"Rosemont, IL",1001 to 5000 Employees,1991,Company - Public,Banking & Lending,Financial Services,$500 million to $1 billion (USD)
218,Mathematical Statistician (Data Scientist),$63K - $98K (Employer est.),"Examples of specialized experience include: Writing code in a widely used statistical/data science software application or equivalent programming languages (e.g……
Skills: Statistics, Calculus, R, Statistical analysis, C",4.2,U.S. Department of Justice,"Washington, DC",10000+ Employees,1870,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable
219,"Fraud Analytics and Modeling, Data Scientist",$108K - $175K (Glassdoor est.),"Perform complex analysis and modeling to identify patterns of fraudulent transactions and develop prevention strategies.…
Skills: Management, Analysis skills, Machine learning, Risk management, Computer networking",3.4,Federal Reserve Bank of Boston,"Boston, MA",1001 to 5000 Employees,1914,Nonprofit Organization,Banking & Lending,Financial Services,$1 to $5 billion (USD)
220,Generative AI Monitoring Analyst,$60K - $140K (Employer est.),"BA or BS degree in a business or financial engineering field. Demonstrate an understanding of AI tools and risks, with the ability to gain a working knowledge……
Skills: Microsoft Excel, Data mining, Financial analysis, Financial services, AI",4.1,S&P Global,"New York, NY",10000+ Employees,1860,Company - Public,Research & Development,Management & Consulting,$10+ billion (USD)
221,Artificial Intelligence Data Governance Analyst,-1,"Work across teams & disciplines to develop & implement AI governance frameworks. You will collaborate with cross functional teams, data scientists, &……
Skills: AI, Communication skills",3.8,Brown Brothers Harriman,"Philadelphia, PA",1001 to 5000 Employees,1818,Company - Private,Investment & Asset Management,Financial Services,$1 to $5 billion (USD)
222,Data Scientist I,$63K - $73K (Employer est.),"As Data Scientist I, you will work closely with cross-functional teams across our family of companies to design, develop, and deploy data-driven solutions on……
Skills: Power BI, Big data, Spark, R, NoSQL",5,Prepaid Wireless Wholesale LLC,"Rockville, MD",Unknown,--,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable
223,Data Scientist,$90K - $115K (Employer est.),"REB uses social science research, scientific methods and data science to inform, improve or evaluate the delivery of public safety services for all District……
Skills: SAS, R, Stata, SQL, C",3.4,Metropolitan Police Department,"Washington, DC",1001 to 5000 Employees,1861,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable
224,"Analyst, Kids Content Performance Analytics - Disney Branded Television",$68K - $94K (Employer est.),"On the social analytics front, the analyst will monitor, analyze, and report on social media activity and performance using a suite of social measurement tools.…
Skills: Microsoft Powerpoint, Microsoft Excel, Facebook Advertising, Nielsen, Research",3.8,Disney,"Burbank, CA",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD)
225,Senior Data Scientist,-1,"Bachelor's degree in Computer Science, Math, Statistics, Engineering, or relevant field. Familiarity with BI / visualization tools (Tibco Spotfire, Power BI,……
Skills: Power BI, Azure, Management, CSS, Web development",3.7,The J. M. Smucker Company,Remote,5001 to 10000 Employees,1897,Company - Public,Food & Beverage Manufacturing,Manufacturing,$5 to $10 billion (USD)
226,Data Scientist,$81K - $120K (Glassdoor est.),"Minimum bachelor’s degree in quantitative fields (mathematics, statistics, data science, physics, computer science, engineering, etc.); master’s or Ph.D.……
Skills: TensorFlow, React, Big data, Machine learning, Natural language processing",3.9,Photon,"McKinney, TX",5001 to 10000 Employees,2007,Company - Private,Information Technology Support Services,Information Technology,$100 to $500 million (USD)
227,Data Scientist,-1,"We also invest in our employees' futures by providing a contribution with vesting starting from DAY 1, technical training, tuition bonuses, and much, much more.…
Skills: Statistics, Software troubleshooting, Calculus, Data analysis skills, Git",3.9,Intelligent Waves LLC,United States,201 to 500 Employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
228,Data Scientist MTS DnR Data Science,$138K - $209K (Employer est.),"Minimum Requirements : Master’s degree, or foreign equivalent, in Computer Science, Engineering, or closely related quantitative discipline, and two (2) years……
Skills: TensorFlow, MATLAB, Big data, R, Java",4.1,Salesforce,"Bellevue, WA",10000+ Employees,1999,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD)
229,"Associate Data Scientist, RWE Clinical Trials Remote",$76K - $122K (Employer est.),"Independently engages with data, analytics and engineering members across Walgreens to develop data solutions. 2+ years scripting language (R, Python, Julia).…
Skills: Power BI, Data mining, Business intelligence, R, Data analysis skills",3.1,WALGREENS,"Deerfield, IL",10000+ Employees,1901,Company - Public,Drug & Health Stores,Retail & Wholesale,$10+ billion (USD)
230,Data Scientist,$80K - $125K (Glassdoor est.),"Master's or Doctorate's degree in Econometrics, Operations Research, Engineering or Quantitative field. Experience in game theory, data envelopment analysis,……
Skills: Statistics, Azure, DevOps, Git, SQL",3.7,Copeland,"Sidney, OH",10000+ Employees,2023,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable
231,Scientist- Data and Modeler II USA,$75K - $107K (Employer est.),"Knowledge of and experience with utilizing advanced descriptive statistics and analysis techniques (such as forecasting, analysis of variance, t-tests,……
Skills: TensorFlow, Statistical software, Statistics, Computer science, Power BI",4.1,First Solar,"Perrysburg, OH",5001 to 10000 Employees,1999,Company - Public,Electronics Manufacturing,Manufacturing,$1 to $5 billion (USD)
232,Data Scientist,$78K - $138K (Glassdoor est.),"A successful candidate will possess a strong background either professionally or academically in statistics mathematics artificial intelligence research methods……
Skills: TensorFlow, Statistics, MATLAB, Data mining, Management",4,Royal Caribbean Group,"Miami, FL",10000+ Employees,1968,Company - Public,Hotels & Resorts,Hotels & Travel Accommodation,$5 to $10 billion (USD)
233,Mid-Level Data Scientist,$150K - $200K (Employer est.),"3+ years of experience in data analysis or a related field. Self-starter and critical thinker, takes ownership of own projects and makes improvement suggestions……
Skills: Computer science, Management, Data analysis skills, NoSQL, Databases",3.5,Millennium Management,"New York, NY",Unknown,--,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable
234,Sr. DATA SCIENTIST,$131K - $178K (Glassdoor est.),"Title: Sr. DATA SCIENTIST Location: Preferred Location: Minneapolis, Chicago, Seattle, or Bay……",4.2,Intone Networks,"San Francisco, CA",201 to 500 Employees,--,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD)
235,Data Coordinator I. Radiation Oncology,-1,"Must have working knowledge of statistical analysis and data science (running and interpreting regressions, data visualization).…
Skills: Microsoft Excel, SAS, R, Research, Stata",3.7,Brigham & Women's Hospital(BWH),"Boston, MA",1001 to 5000 Employees,1994,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD)
236,Staff Machine Learning Engineer,$118K - $313K (Employer est.),"If you have a foundation in online platform trust and safety issues, skills in data science and machine learning and an empathetic approach to mentoring and……
Skills: SQL, Machine learning, GitHub, Data science, GraphQL",3.8,"GitHub, Inc.",Remote,1001 to 5000 Employees,2008,Subsidiary or Business Segment,Internet & Web Services,Information Technology,Unknown / Non-Applicable
237,Senior Data Scientist - Healthcare AI/ML,$160K - $175K (Employer est.),"Excellent written, interpersonal communication and presentation skills, including ability to present complex technical concepts in a clear, concise manner to……
Skills: SQL, AWS, Machine learning, AI, Care plans",4.2,Arine,Remote,1 to 50 Employees,2017,Company - Private,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable
238,"Analyst, Kids Content Performance Analytics - Disney Branded Television",$68K - $94K (Employer est.),"On the social analytics front, the analyst will monitor, analyze, and report on social media activity and performance using a suite of social measurement tools.…
Skills: Microsoft Powerpoint, Microsoft Excel, Facebook Advertising, Nielsen, Research",3.8,Disney Entertainment Television,"Burbank, CA",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD)
239,Artificial Intelligence Engineer,$150K - $175K (Employer est.),"A MS degree in Computer Science, AI, Machine Learning, or related field with a strong programming background. PhD in a relevant field.…
Skills: TensorFlow, DevOps, R, Google Cloud Platform, Java",3.7,"Amplify Education, Inc.",Remote,201 to 500 Employees,2000,Company - Private,Primary & Secondary Schools,Education,$100 to $500 million (USD)
240,Analyst-AI I USA,$64K - $91K (Employer est.),"Ability to participate in video/conference calls with global team outside normal business hours. Take ownership of data analysis, modeling, data quality, and……
Skills: Microsoft Windows Server, TensorFlow, Computer science, MATLAB, Power BI",4.1,First Solar,"Perrysburg, OH",5001 to 10000 Employees,1999,Company - Public,Electronics Manufacturing,Manufacturing,$1 to $5 billion (USD)
241,"Scientist I, Data Review",$43K - $61K (Glassdoor est.),"Bachelor’s degree in relevant field such as chemistry, biochemistry, biology, chemical engineering, pharmaceutical sciences, or other directly related field or……
Skills: Gas chromatography, CGMP, GLP, High-performance liquid chromatography, Laboratory experience",3.1,Eurofins USA BioPharma Services,"Columbia, MO",10000+ Employees,1987,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD)
242,Senior Clinical Data Scientist,$95K - $140K (Glassdoor est.),"Must have coursework or experience in the following skills: Utilizing knowledge of statistical methodology; Designing clinical trials or clinical experiments;……
Skills: Statistics, SAS, R, Data analysis skills, Survival analysis",4.2,"BI Pharmaceuticals, Inc.","Ridgefield, CT",1001 to 5000 Employees,1885,Company - Private,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
243,Sr. Operations Data Analyst,-1,"The knowledge, skills and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related to……
Skills: Microsoft Powerpoint, Microsoft Office, Tableau, SQL, Leadership",3.8,Home Depot / THD,United States,10000+ Employees,1978,Company - Public,Home Furniture & Housewares Stores,Retail & Wholesale,$10+ billion (USD)
244,"Post Doctoral Researcher, AI Reasoning and Natural Language Understanding",$95K (Employer est.),"A Ph.D. degree in AI/NLU or a related field (ex. computational linguistics, computer science, machine learning, data science, applied mathematics, statistics)……
Skills: TensorFlow, Statistics, Microsoft Excel, Data mining, Data structures",4.2,Johnson & Johnson,"Titusville, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD)
245,"Manager, Data Science (Remote)",$85K - $144K (Glassdoor est.),"Oversee the design of experiments that answer targeted questions. Expertise in developing and deploying state-of-the-art algorithms using machine learning and……
Skills: Pricing, Spark, R, SQL, Product development",3.4,KOHLS,"Menomonee Falls, WI",10000+ Employees,1962,Company - Public,"Department, Clothing & Shoe Stores",Retail & Wholesale,$10+ billion (USD)
246,Software Development Engineer I - Data Reviewer AI/ML,$76K - $130K (Employer est.),"Bachelor's in computer science, mathematics, Geographic Information Systems (GIS), or STEM related field. Master's in computer science, mathematics, Geographic……
Skills: ArcGIS, Management, Java, Databases, SQL",4,Esri,"Redlands, CA",1001 to 5000 Employees,1969,Company - Private,Software Development,Information Technology,$1 to $5 billion (USD)
247,Research Data Analyst (Hybrid),$67K - $97K (Employer est.),"Bachelor’s degree in computer science, bioengineering, electrical engineering, or other related quantitative fields. Analyze data processes in documentation.…
Skills: Laboratory experience, Analysis skills, Deep learning, Organizational skills, Software development",4.3,Stanford University,"Stanford, CA",10000+ Employees,1891,College / University,Colleges & Universities,Education,$10+ billion (USD)
248,Compliance Model Review Advisor (Remote),$98K - $163K (Employer est.),"Provide guidance and direction to lower level analysts regarding all aspects of data analysis and the construction of predictive statistical models.…
Skills: Statistical software, Microsoft Excel, SAS, Microsoft Office, Databases",3.6,M&T Bank,"Clanton, AL",10000+ Employees,1856,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD)
249,Sr Data Scientist Enterprise,$104K - $164K (Glassdoor est.),"3+ years of experience in data science or related field, with a focus on predictive/prescriptive modeling, and statistical analysis required.…
Skills: R, Data analysis skills, SQL, Customer segmentation, Statistical analysis",3.4,Academy Sports,"Katy, TX",10000+ Employees,1938,Company - Public,Sporting Goods Stores,Retail & Wholesale,$1 to $5 billion (USD)
250,"Data Science Manager, Shopper",$148K - $304K (Employer est.),"Each of them brings its own complexity and challenges which will provide exposure to a wide variety of data science problems to solve.…
Skills: Product development, Machine learning, Continuous improvement, Team management, Data science",4,Pinterest,"San Francisco, CA",1001 to 5000 Employees,2010,Company - Public,Internet & Web Services,Information Technology,$100 to $500 million (USD)
251,Experienced Data Scientist (Machine Learning and Operations Research),$105K - $150K (Employer est.),"Apply thorough technical and business knowledge to feature engineering of massive datasets, exploratory data analysis, and model building to deliver accurate……
Skills: R, Machine learning, Scala, Organizational skills, Cloud computing",4.1,Procter & Gamble,"Cincinnati, OH",10000+ Employees,1837,Company - Public,Consumer Product Manufacturing,Manufacturing,$10+ billion (USD)
252,Sr. Data Scientist,$97K - $134K (Employer est.),"Use robust and powerful machine learning algorithms to develop predictive models that can be deployed to improve profitability across the entire life-cycle of……
Skills: Relational databases, R, Microsoft SQL Server, SQL, Analysis skills",3.6,Exeter Finance LLC,"Irving, TX",1001 to 5000 Employees,2006,Company - Private,Banking & Lending,Financial Services,$500 million to $1 billion (USD)
253,Clinical Data Modeler,-1,"The contractor shall participate in required planning and coordination calls. The contractor shall possess a bachelor's degree with coursework in statistics and……
Skills: Microsoft Powerpoint, Microsoft Word, Microsoft Excel, Microsoft Outlook, R",2.9,Tunnell Government Services,Remote,51 to 200 Employees,--,Company - Public,--,--,$25 to $100 million (USD)
254,Machine Learning Engineer I,$120K (Employer est.),"Bachelor’s degree in computer engineering, computer science, or similar field; or an equivalent combination of education and experience.…
Skills: TensorFlow, Yardi, Microsoft SQL Server, Git, Databases",4.1,"Yardi Systems, Inc.","Oxnard, CA",5001 to 10000 Employees,1982,Company - Private,Software Development,Information Technology,$1 to $5 billion (USD)
255,Data Scientist- Growth,$165K - $220K (Employer est.),"Proficiency in SQL, Python, and other data manipulation tools and techniques. Collaboration: Work cross-functionally with product managers, marketers, and……
Skills: SQL, Communication skills, Python, Analytics",4.5,Statsig,"Bellevue, WA",51 to 200 Employees,--,Company - Private,--,--,Unknown / Non-Applicable
256,Senior Data Scientist,$125K - $175K (Glassdoor est.),"Conduct technical analysis of new requests from internal customers to gather requirements, analyze, and convert into technical requirements for optimal coding……
Skills: Data mining, R, Java, SQL, OOP",4.1,Caterpillar,"Peoria, IL",10000+ Employees,1925,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD)
257,Data Scientist-AI/ML Engineer,$90K - $115K (Employer est.),"Excellent English written and verbal communication skills; ability to translate technical concepts to a non-technical audience. Masters or PhD is preferred.…
Skills: Jira, CI/CD, Cloud architecture, R, Git",3.9,Best Egg,"Wilmington, DE",501 to 1000 Employees,2013,Company - Private,Banking & Lending,Financial Services,Unknown / Non-Applicable
258,"GenAI ML Engineer, Sr.",$52.55 - $78.83 Per Hour (Employer est.),"A minimum of 4 years of experience in data science, data analytics, or related field. This role involves developing and implementing solutions using generative……
Skills: TensorFlow, Statistics, Azure, Software deployment, Data structures",4,Qualcomm,"San Diego, CA",10000+ Employees,1985,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD)
259,Staff Data Scientist,$202K - $237K (Employer est.),"Initiate, develop,and maintain data pipelines and data models with outstanding craftsmanship. Measure business performance, develop / refine core metrics and……
Skills: SQL, Machine learning, Semantic Web, Python, Marketing",3.7,Coinbase,Remote,1001 to 5000 Employees,2012,Company - Public,Internet & Web Services,Information Technology,Unknown / Non-Applicable
